FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
Fam11,E_05,NA,9,3.1,2,1046,45,S52,Fam11,P,T,M,11.2,65.4,Exposed,infected,51,11.705,0.47568,1.04331,0.8,37.2,14.1,161,2862450,376.5,75.11,0.5513
Fam11,E_31,NA,64,5.8,4,1024,45,S124,Fam11,P,T,M,13.3,70.1,Exposed,infected,50,11.458,0.83019,1.30824,1.2,27.9,15.7,307,3361759,457,70.11,0.6141
Fam11,E_42,NA,100,5.6,2,1129,44,S79,Fam11,P,T,M,7.6,65.4,Exposed,infected,50,13.33,-1.86182,-0.95618,1.2,37.3,10.9,365,985537,229,15.1,1.2709
Fam11,NE_05,NA,10,6.9,0,1057,44,S53,Fam11,P,C,M,12.6,67.1,Control,control,49,12.48,-0.70158,-0.08915,1.1,38.6,11.8,273,4441521,553,77.61,0.6382
Fam11,NE_31,NA,65,3.5,0,919,43,S125,Fam11,P,C,M,11.5,68.9,Control,control,50,11.464,0.52221,0.57266,1,26.4,16.1,204,2456302,317,70.11,0.6074
Fam11,NE_42,NA,99,7.8,0,951,43.5,S78,Fam11,P,C,M,12.4,66.4,Control,control,50,11.54,0.50654,0.68732,0.7,28.1,12.1,382,1126103,222,17.6,1.2202
Fam12,E_32,NA,67,4.2,3,816,41,S127,Fam12,P,T,M,9.5,67,Exposed,infected,45,11.406,0.18199,-0.187,1,22.6,13.1,250,2997537,377.5,35.1,0.646
Fam12,E_35,NA,72,3.5,7,939,45,S74,Fam12,P,T,M,11.4,67.6,Exposed,infected,50,10.507,2.19992,2.33182,1.5,25.6,10.1,247,3104499,397,62.61,0.7457
Fam12,NE_32,NA,66,4.4,0,971,43,S126,Fam12,P,C,M,13.9,66.2,Control,control,47,12.112,-0.31574,-0.05353,1.5,36,18,277,2697229,399.5,15.1,0.5961
Fam12,NE_35,NA,73,5.5,0,1085,44,S75,Fam12,P,C,M,10.4,66.6,Control,control,51,12.811,-1.15278,-0.42633,1.2,35.3,21.7,286,4248379,580.5,15.1,0.7526
Fam17,E_01,NA,1,1.7,2,1067,45,S70,Fam17,P,T,M,7.2,68,Exposed,infected,50,11.94,0.13728,0.79043,NA,46,11.9,304,7196948,1024.5,77.58,0.6669
Fam17,E_46,NA,110,4.1,1,1228,45,S144,Fam17,P,T,M,12.4,67.6,Exposed,infected,51.5,13.741,-2.45714,-1.14835,1.6,43.5,13.1,477,2572607,367,15.1,1.2838
Fam17,E_49,NA,120,2.9,5,1087,44,S69,Fam17,P,T,M,12.9,65.8,Exposed,infected,49,12.834,-1.18501,-0.45041,0.9,36,8.9,464,2648608,422.5,15.1,1.1251
Fam17,NE_01,NA,2,5,0,942,43,S71,Fam17,P,C,M,11,67.8,Control,control,48,11.751,0.15157,0.2957,NA,32.2,9.3,178,3672145,457,82.58,0.5875
Fam17,NE_46,NA,109,5.9,0,1094,46,S143,Fam17,P,C,M,10.8,67.9,Control,control,52,11.615,0.70219,1.46529,1.5,50.2,8.3,515,3553671,798.5,15.1,0.9408
Fam17,NE_49,NA,119,3.5,0,1346,47.5,S68,Fam17,P,C,M,10.9,69.8,Control,control,54,13.236,-1.85864,-0.06932,1.4,45.5,7.1,488,1565368,180.5,102.61,0.9827
Fam6,E_04,NA,8,1.5,5,1028,45,S36,Fam06,P,T,M,9,59,Exposed,infected,50,11.503,0.76574,1.26007,0.6,33,7.4,197,2175423,240,97.61,0.5713
Fam6,E_19,NA,39,3.4,5,895,42,S73,Fam06,P,T,M,12.3,57.7,Exposed,infected,47,11.81,-0.09105,-0.13832,0.7,26.3,10.2,190,2164264,353,90.11,0.5927
Fam6,E_30,NA,63,2.6,6,732,39,S17,Fam06,P,T,M,9.2,65.2,Exposed,infected,44,11.531,-0.46441,-1.17546,1.1,17.5,7.7,174,1914101,243,105.11,0.4579
Fam6,NE_04,NA,7,3.9,0,931,43,S35,Fam06,P,C,M,9.2,64.8,Control,control,48,11.613,0.32883,0.42816,1,29.6,7,206,918395,119.5,92.61,0.6135
Fam6,NE_19,NA,38,2.1,0,922,43,S72,Fam06,P,C,M,13.6,60.5,Control,control,48,11.501,0.47386,0.53654,0.6,32.9,10.4,216,1964699,295.5,90.11,0.6074
Fam6,NE_30,NA,62,4.1,0,931,43,S16,Fam06,P,C,M,10.5,64.8,Control,control,49,11.613,0.32883,0.42816,0.9,18.8,8.2,261,2834708,358.5,102.61,0.5291
Fam9,E_16,NA,32,2.1,5,938,42,S95,Fam09,P,T,M,9.4,67.4,Exposed,infected,47,12.378,-0.78397,-0.65614,1.5,24.5,15,207,1191014,173,47.61,0.5072
Fam9,E_34,NA,71,1.2,6,1076,44,S108,Fam09,P,T,M,11.6,65.9,Exposed,infected,49,12.705,-1.00776,-0.31795,1.8,42.7,11.9,199,1947850,256.5,50.11,0.424
Fam9,E_38,NA,79,2.6,6,937,41,S77,Fam09,P,T,M,11.2,67.6,Exposed,infected,46,13.097,-1.76786,-1.6441,0.9,23.7,19.3,311,2160804,319,12.6,0.5256
Fam9,NE_16,NA,31,3.2,0,1002,43,S94,Fam09,P,C,M,8.3,67.4,Control,control,48,12.499,-0.81529,-0.42683,0.7,30.1,11.8,341,2696928,378,55.11,0.6298
Fam9,NE_34,NA,70,2.2,0,743,39,S107,Fam09,P,C,M,11.5,67.9,Control,control,45,11.704,-0.64166,-1.30792,1.5,19,3.9,163,3289750,422,52.61,0.5425
Fam9,NE_38,NA,78,4.3,0,1141,43,S76,Fam09,P,C,M,11.4,61.7,Control,control,48,14.233,-3.05519,-2.10069,0.9,56.6,11.3,206,2380350,385.5,15.1,0.5493
Fam6,E_04,S36,V48_122,2.3,0,680,40,S20,Fam06,O,TC,F,12.5,65.3,E_control,control,46,-11.694,1.37354,1.2054,0.6,19.8,27.6,19.8,1011690.6,174,100.11,0.67
Fam6,E_04,S36,V48_152,2.8,1,660,41,S24,Fam06,O,TT,F,20,70.3,E_exposed,infected,47,-78.047,2.69583,2.55546,0.5,18.5,12.4,3.6,703565.1,110,80.11,0.97
Fam6,E_04,S36,V48_256,2.6,2,832,41,S25,Fam06,O,TT,M,11.7,65.8,E_exposed,infected,47,93.953,-0.07584,-0.45509,0.9,16.6,7.7,13.9,885283.9,144,80.11,0.75
Fam6,E_04,S36,V48_055,1.7,1,615,38,S22,Fam06,O,TT,F,5.8,69.1,E_exposed,infected,44,16.012,0.40581,0.32296,0.7,17.4,12,2.2,194165,27,125.11,1.74
Fam6,E_04,S36,V48_090,3,0,702,41,S19,Fam06,O,TC,F,11.4,69.8,E_control,control,46,-36.047,2.01902,1.82032,0.6,25.3,10.9,2.6,2012259.2,295,75.11,0.68
Fam6,E_04,S36,V48_380,2.6,0,689,40,S21,Fam06,O,TC,M,11.1,61.5,E_control,control,45,-2.694,1.22851,1.04787,0.5,14.3,1.2,3.4,901561.7,157,90.11,0.45
Fam6,E_04,S36,V48_057,3.6,5,706,40,S23,Fam06,O,TT,M,11.3,61.2,E_exposed,infected,46,14.306,0.95457,0.75031,0.7,21.9,4.2,3.5,1025671.6,177,85.11,2.49
Fam6,E_04,S36,V48_363,4.4,9,592,38,S26,Fam06,O,TT,M,11.1,63.2,E_exposed,infected,42,-6.988,0.79161,0.74568,0.4,12.9,4,3.8,1661786.1,287,90.11,0.92
Fam6,E_04,S36,V48_089,2.7,0,573,38,S18,Fam06,O,TC,M,9.8,62.9,E_control,control,43,-25.988,1.09778,1.07824,0.5,15.6,0.6,1.8,800082.5,158,40.11,0.5
Fam11,E_05,S52,V48_134,3.5,1,879,43,S43,Fam11,O,TT,F,11.7,66.9,E_exposed,infected,49,48.247,1.16678,0.72226,1.1,27.9,16,2.9,2376297.2,389,60.11,0.61
Fam11,E_05,S52,V48_360,3.5,0,978,44,S38,Fam11,O,TC,F,11.8,69.6,E_control,control,50,100.894,0.57146,-0.01056,0.5,36.3,15.6,4.2,1289473.3,184,35.11,1.28
