SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms...11,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen,HK.W,SPL.W,L.W,GON.W,BK.W,No.Worms...23,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S1,G04873-L1_S1_L001_R1_001,23440638,83.726,71.7%,33%,10.9,70.9061927229483,32,93.2074359300032,18.1818181818182,10802092,S1,Fam06,O,TC,F,10.9,V48_006,66.3,E_control,control,0,43,50,1096,265.247,-2.33004,-3.07594,5,0.9,61.3,116.8,3.5,1,923411.8,174,70.11,0.96
S10,G04882-L1_S10_L001_R1_001,24879102,81.675,73.2%,32%,12.1,72.6825134512515,31,94.9399228682093,18.1818181818182,12000240,S10,Fam06,O,CC,M,12,V48_213,64.3,NE_control,control,0,40,46,1043,351.306,-4.47598,-5.14827,6.7,1.5,41.1,14.1,14.3,0,4497525.7,757,60.11,0.95
S100,G04972-L1_S100_L006_R1_001,27806363,85.085,71.1%,33%,12.1,70.5690367155633,32,94.7653074807767,18.1818181818182,12034606,S100,Fam09,O,TT,M,12.1,V48_377,66.9,E_exposed,infected,2,37,42,562,9.365,0.27504,0.27077,2.2,0.6,15.8,0.2,1.8,2,3196044.3,514,20.11,0.7
S101,G04973-L1_S101_L006_R1_001,23564609,86.222,73.0%,31%,10.3,72.7674678919336,31,96.6124413472019,18.1818181818182,10274659,S101,Fam09,O,CC,M,10.3,V48_312,69,NE_control,control,0,37,43,565,12.365,0.2267,0.21826,2.2,0.6,13.8,0.9,2.6,0,1449694,234,15.1,0.91
S102,G04974-L1_S102_L006_R1_001,23967382,86.999,74.8%,31%,10.6,74.6318491088016,31,96.6508284339673,18.1818181818182,10607665,S102,Fam09,O,CC,M,10.6,V48_329,68.6,NE_control,control,0,42,48,867,82.6,0.36015,-0.06771,4,1.4,40.4,1.2,4.8,0,3482595.9,500,75.11,0.33
S103,G04975-L1_S103_L006_R1_001,25404604,87.133,84.2%,36%,17.1,74.4449658831927,31,96.5135818674921,18.1818181818182,10723194,S103,Fam09,O,CT,F,11.1,V48_003,69.3,NE_exposed,infected,1,40,45,650,-41.694,1.85698,1.73049,4.5,0.7,16.9,9.5,1.2,1,2764858.5,498,50.11,1.37
S104,G04976-L1_S104_L006_R1_001,21791576,87.433,75.0%,31%,9.3,74.8150895550908,31,96.6030070909065,18.1818181818182,9309529,S104,Fam09,O,CT,M,9.3,V48_311,68.1,NE_exposed,infected,1,40,45,659,-32.694,1.71195,1.57296,2.5,0.9,19.9,0.7,2.5,1,1921151,319,20.11,0.67
S105,G04977-L1_S105_L006_R1_001,26180323,87.421,73.6%,32%,10.6,73.2073177398443,32,95.2731954093663,18.1818181818182,10564903,S105,Fam09,O,CT,M,10.6,V48_330,70.4,NE_exposed,infected,6,35,41,447,-12.929,0.12819,0.28364,2,0.6,11.7,8.6999999999999993,1.7,6,2815242.4,420,55.11,0.43
S106,G04978-L1_S106_L006_R1_001,21684972,85.689,72.4%,31%,10.1,71.8889573120409,31,95.0326033063005,18.1818181818182,10021775,S106,Fam09,O,CT,F,10,V48_331,68.4,NE_exposed,infected,6,39,45,574,-71.341,2.08167,2.06073,2,0.9,18.3,8.9,2.2999999999999998,6,2111808.4,290,20.11,0.38
S107,G04979-L1_S107_L006_R1_001,25226827,86.063,71.0%,33%,11.7,69.9070114186025,32,93.9053139680289,18.1818181818182,11417946,S107,Fam09,P,C,M,11.5,70,67.9,Control,control,0,39,45,743,11.704,-0.64166,-1.30792,2.2,1.5,19,3.9,163,0,3289750,422,52.61,0.5425
