Sample Name,% Dups,% GC,M Seqs
G04873-L1_S1_L001_R1_001,71.7%,33%,10.9
G04874-L1_S2_L001_R1_001,74.4%,34%,10.1
G04875-L1_S3_L001_R1_001,73.6%,32%,11.2
G04876-L1_S4_L001_R1_001,71.8%,33%,11.5
G04877-L1_S5_L001_R1_001,71.6%,32%,11.3
G04878-L1_S6_L001_R1_001,72.3%,32%,11.6
G04879-L1_S7_L001_R1_001,83.8%,37%,15.8
G04880-L1_S8_L001_R1_001,73.5%,33%,9.5
G04881-L1_S9_L001_R1_001,76.2%,34%,14.4
G04882-L1_S10_L001_R1_001,73.2%,32%,12.1
G04883-L1_S11_L001_R1_001,77.3%,32%,13
G04884-L1_S12_L001_R1_001,84.5%,37%,7.1
G04885-L1_S13_L001_R1_001,73.3%,32%,10.1
G04886-L1_S14_L001_R1_001,71.6%,32%,10.5
G04887-L1_S15_L001_R1_001,70.1%,32%,8.4
G04888-L1_S16_L001_R1_001,72.7%,32%,10.5
G04889-L1_S17_L001_R1_001,75.0%,34%,9.3
G04890-L1_S18_L001_R1_001,74.3%,34%,10.1
G04891-L1_S19_L002_R1_001,73.7%,33%,11.4
G04892-L1_S20_L002_R1_001,75.8%,33%,12.6
G04893-L1_S21_L002_R1_001,75.8%,34%,11.2
G04894-L1_S22_L002_R1_001,78.5%,30%,5.8
G04895-L1_S23_L002_R1_001,77.5%,32%,11.3
G04896-L1_S24_L002_R1_001,78.3%,33%,20.1
G04897-L1_S25_L002_R1_001,77.8%,35%,11.8
G04898-L1_S26_L002_R1_001,73.1%,33%,11.2
G04899-L1_S27_L002_R1_001,76.4%,32%,11.4
G04900-L1_S28_L002_R1_001,77.8%,32%,12.8
G04901-L1_S29_L002_R1_001,72.4%,33%,9.6
G04902-L1_S30_L002_R1_001,74.7%,33%,10.9
G04903-L1_S31_L002_R1_001,86.0%,38%,13.2
G04904-L1_S32_L002_R1_001,74.8%,35%,8.6
G04905-L1_S33_L002_R1_001,74.4%,34%,10.6
G04906-L1_S34_L002_R1_001,74.6%,33%,9.6
G04907-L1_S35_L002_R1_001,73.5%,34%,9.3
G04908-L1_S36_L002_R1_001,75.7%,34%,9.1
G04909-L1_S37_L003_R1_001,71.8%,32%,7.8
G04910-L1_S38_L003_R1_001,73.8%,32%,11.9
G04911-L1_S39_L003_R1_001,71.2%,32%,11.6
G04912-L1_S40_L003_R1_001,70.9%,33%,10.6
G04913-L1_S41_L003_R1_001,73.7%,36%,6.8
G04914-L1_S42_L003_R1_001,77.3%,35%,14
G04915-L1_S43_L003_R1_001,76.8%,35%,11.8
G04916-L1_S44_L003_R1_001,75.3%,34%,10
G04917-L1_S45_L003_R1_001,72.5%,33%,12.4
G04918-L1_S46_L003_R1_001,75.2%,32%,8.3
G04919-L1_S47_L003_R1_001,76.5%,32%,13.3
G04920-L1_S48_L003_R1_001,74.0%,33%,13
G04921-L1_S49_L003_R1_001,77.6%,36%,12
G04922-L1_S50_L003_R1_001,74.1%,35%,9.4
G04923-L1_S51_L003_R1_001,75.1%,34%,10.7
G04924-L1_S52_L003_R1_001,74.7%,34%,11.2
G04925-L1_S53_L003_R1_001,71.9%,33%,12.8
G04926-L1_S54_L003_R1_001,73.2%,33%,13
G04927-L1_S55_L004_R1_001,84.6%,38%,15.9
G04928-L1_S56_L004_R1_001,74.5%,33%,10.2
G04929-L1_S57_L004_R1_001,72.4%,34%,8.8
G04930-L1_S58_L004_R1_001,75.8%,34%,13.6
G04931-L1_S59_L004_R1_001,71.4%,34%,10.6
G04932-L1_S60_L004_R1_001,72.8%,34%,10.6
G04933-L1_S61_L004_R1_001,71.6%,32%,9.3
G04934-L1_S62_L004_R1_001,71.4%,33%,11.7
G04935-L1_S63_L004_R1_001,75.9%,33%,10.4
G04936-L1_S64_L004_R1_001,71.4%,32%,10.8
G04937-L1_S65_L004_R1_001,72.9%,33%,9.6
G04938-L1_S66_L004_R1_001,75.0%,34%,11.1
G04939-L1_S67_L004_R1_001,73.0%,32%,12.4
G04940-L1_S68_L004_R1_001,69.7%,33%,10.9
G04941-L1_S69_L004_R1_001,72.4%,32%,13
G04942-L1_S70_L004_R1_001,72.6%,31%,7.2
G04943-L1_S71_L004_R1_001,75.7%,33%,11.1
G04944-L1_S72_L004_R1_001,76.7%,32%,13.7
G04945-L1_S73_L005_R1_001,76.5%,33%,12.3
G04946-L1_S74_L005_R1_001,72.9%,34%,11.5
G04947-L1_S75_L005_R1_001,72.8%,33%,10.5
G04948-L1_S76_L005_R1_001,73.6%,34%,11.5
G04949-L1_S77_L005_R1_001,73.3%,34%,11.3
G04950-L1_S78_L005_R1_001,73.3%,32%,12.5
G04951-L1_S79_L005_R1_001,81.2%,38%,13.2
G04952-L1_S80_L005_R1_001,72.1%,33%,11.4
G04953-L1_S81_L005_R1_001,75.2%,33%,12.6
G04954-L1_S82_L005_R1_001,72.8%,32%,9.9
G04955-L1_S83_L005_R1_001,73.4%,33%,11
G04956-L1_S84_L005_R1_001,72.7%,33%,12
G04957-L1_S85_L005_R1_001,72.6%,32%,11.2
G04958-L1_S86_L005_R1_001,74.1%,33%,10.1
G04959-L1_S87_L005_R1_001,73.4%,32%,10.2
G04960-L1_S88_L005_R1_001,74.1%,32%,10
G04961-L1_S89_L005_R1_001,74.0%,32%,10
G04962-L1_S90_L005_R1_001,75.5%,34%,11.6
G04963-L1_S91_L006_R1_001,71.9%,32%,12.2
G04964-L1_S92_L006_R1_001,70.8%,32%,9.7
G04965-L1_S93_L006_R1_001,71.5%,32%,11
G04966-L1_S94_L006_R1_001,69.2%,31%,8.3
G04967-L1_S95_L006_R1_001,74.8%,32%,9.4
G04968-L1_S96_L006_R1_001,74.2%,31%,10.4
G04969-L1_S97_L006_R1_001,73.0%,32%,12.9
G04970-L1_S98_L006_R1_001,72.6%,32%,10.6
G04971-L1_S99_L006_R1_001,72.8%,31%,10.2
G04972-L1_S100_L006_R1_001,71.1%,33%,12.1
G04973-L1_S101_L006_R1_001,73.0%,31%,10.3
G04974-L1_S102_L006_R1_001,74.8%,31%,10.6
G04975-L1_S103_L006_R1_001,84.2%,36%,17.1
G04976-L1_S104_L006_R1_001,75.0%,31%,9.3
G04977-L1_S105_L006_R1_001,73.6%,32%,10.6
G04978-L1_S106_L006_R1_001,72.4%,31%,10.1
G04979-L1_S107_L006_R1_001,71.0%,33%,11.7
G04980-L1_S108_L006_R1_001,72.6%,33%,11.6
G04981-L1_S109_L007_R1_001,73.7%,32%,12.4
G04982-L1_S110_L007_R1_001,57.0%,32%,3.4
G04983-L1_S111_L007_R1_001,71.6%,32%,10.9
G04984-L1_S112_L007_R1_001,75.2%,31%,15.5
G04985-L1_S113_L007_R1_001,74.5%,31%,11.1
G04986-L1_S114_L007_R1_001,72.9%,32%,11.1
G04987-L1_S115_L007_R1_001,73.3%,31%,10.6
G04988-L1_S116_L007_R1_001,78.2%,30%,11.1
G04989-L1_S117_L007_R1_001,76.1%,32%,12.3
G04990-L1_S118_L007_R1_001,83.2%,30%,5.5
G04991-L1_S119_L007_R1_001,72.9%,30%,10
G04992-L1_S120_L007_R1_001,78.6%,30%,12.5
G04993-L1_S121_L007_R1_001,75.7%,31%,12.8
G04994-L1_S122_L007_R1_001,74.5%,31%,11.1
G04995-L1_S123_L007_R1_001,76.2%,32%,12.3
G04996-L1_S124_L007_R1_001,73.9%,33%,13.3
G04997-L1_S125_L007_R1_001,74.5%,34%,11.5
G04998-L1_S126_L007_R1_001,74.3%,33%,13.9
G04999-L1_S127_L008_R1_001,80.6%,37%,14.8
G05000-L1_S128_L008_R1_001,70.2%,31%,9.4
G05001-L1_S129_L008_R1_001,72.9%,32%,12.7
G05002-L1_S130_L008_R1_001,72.9%,31%,10.2
G05003-L1_S131_L008_R1_001,71.7%,31%,8.5
G05004-L1_S132_L008_R1_001,73.3%,31%,11
G05005-L1_S133_L008_R1_001,73.5%,30%,10.4
G05006-L1_S134_L008_R1_001,71.3%,30%,9.6
G05007-L1_S135_L008_R1_001,76.2%,30%,10.5
G05008-L1_S136_L008_R1_001,79.2%,29%,12.8
G05009-L1_S137_L008_R1_001,71.9%,31%,9.7
G05010-L1_S138_L008_R1_001,71.6%,32%,9.9
G05011-L1_S139_L008_R1_001,71.3%,31%,10.7
G05012-L1_S140_L008_R1_001,69.6%,31%,9
G05013-L1_S141_L008_R1_001,75.7%,32%,19.6
G05014-L1_S142_L008_R1_001,79.8%,30%,4.8
G05015-L1_S143_L008_R1_001,70.3%,32%,10.8
G05016-L1_S144_L008_R1_001,73.9%,31%,12.4
