Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
G04873-L1_S1_L001_R1_001_trimmed_cutadapt	70.90619272294829	32.0	93.20743593000319	18.181818181818183	10802092.0
G04874-L1_S2_L001_R1_001_trimmed_cutadapt	73.87009077186167	33.0	95.16774845480606	18.181818181818183	10007967.0
G04875-L1_S3_L001_R1_001_trimmed_cutadapt	73.10223604679662	31.0	94.5223279384038	18.181818181818183	11123284.0
G04876-L1_S4_L001_R1_001_trimmed_cutadapt	71.40995375428724	32.0	95.2875380702329	18.181818181818183	11455144.0
G04877-L1_S5_L001_R1_001_trimmed_cutadapt	70.92914453409338	32.0	94.56028684995518	18.181818181818183	11178806.0
G04878-L1_S6_L001_R1_001_trimmed_cutadapt	71.79453713147245	32.0	95.03494084584199	18.181818181818183	11478314.0
G04879-L1_S7_L001_R1_001_trimmed_cutadapt	69.65866660679005	31.0	95.3648517607735	18.181818181818183	8204576.0
G04880-L1_S8_L001_R1_001_trimmed_cutadapt	72.7453385949776	32.0	93.82956565519564	18.181818181818183	9422514.0
G04881-L1_S9_L001_R1_001_trimmed_cutadapt	75.53058014166322	33.0	93.83921790565083	18.181818181818183	14254137.0
G04882-L1_S10_L001_R1_001_trimmed_cutadapt	72.68251345125145	31.0	94.93992286820931	18.181818181818183	12000240.0
G04883-L1_S11_L001_R1_001_trimmed_cutadapt	76.95722282199888	31.0	95.78274124527653	18.181818181818183	12907061.0
G04884-L1_S12_L001_R1_001_trimmed_cutadapt	81.78659339208133	34.0	81.64628194085559	36.36363636363637	5834025.0
G04885-L1_S13_L001_R1_001_trimmed_cutadapt	73.0863691995843	31.0	96.35416326089437	18.181818181818183	10038105.0
G04886-L1_S14_L001_R1_001_trimmed_cutadapt	71.13101716974973	31.0	95.25915912729089	18.181818181818183	10469147.0
G04887-L1_S15_L001_R1_001_trimmed_cutadapt	69.62560147757576	31.0	95.06097325242115	18.181818181818183	8308266.0
G04888-L1_S16_L001_R1_001_trimmed_cutadapt	72.29068164818081	31.0	94.99029385080631	18.181818181818183	10478821.0
G04889-L1_S17_L001_R1_001_trimmed_cutadapt	74.44588328339259	33.0	94.6526810828567	18.181818181818183	9211819.0
G04890-L1_S18_L001_R1_001_trimmed_cutadapt	72.65864026716218	33.0	94.60772543269402	18.181818181818183	9497358.0
G04891-L1_S19_L002_R1_001_trimmed_cutadapt	73.15348935485028	32.0	95.46026658533859	18.181818181818183	11305648.0
G04892-L1_S20_L002_R1_001_trimmed_cutadapt	75.40081798330282	33.0	95.51329364585949	18.181818181818183	12465730.0
G04893-L1_S21_L002_R1_001_trimmed_cutadapt	75.06825392205113	33.0	93.04851783128576	27.27272727272727	11091180.0
G04894-L1_S22_L002_R1_001_trimmed_cutadapt	78.36313615278368	30.0	96.385772124617	18.181818181818183	5775648.0
G04895-L1_S23_L002_R1_001_trimmed_cutadapt	77.21281112610068	32.0	95.19414829406638	18.181818181818183	11262015.0
G04896-L1_S24_L002_R1_001_trimmed_cutadapt	77.76427031979668	32.0	95.34776977989682	18.181818181818183	19853870.0
G04897-L1_S25_L002_R1_001_trimmed_cutadapt	77.22774278608968	34.0	94.58871240642344	27.27272727272727	11690428.0
G04898-L1_S26_L002_R1_001_trimmed_cutadapt	72.61116548202531	32.0	95.44278081920717	18.181818181818183	11037208.0
G04899-L1_S27_L002_R1_001_trimmed_cutadapt	76.0863705825337	32.0	95.86151231116635	18.181818181818183	11376217.0
G04900-L1_S28_L002_R1_001_trimmed_cutadapt	77.56525574299548	32.0	96.34830836077026	18.181818181818183	12768680.0
G04901-L1_S29_L002_R1_001_trimmed_cutadapt	71.78726447509614	33.0	95.840557443576	18.181818181818183	9405795.0
G04902-L1_S30_L002_R1_001_trimmed_cutadapt	74.34706109504555	33.0	96.0713573077402	18.181818181818183	10824988.0
G04903-L1_S31_L002_R1_001_trimmed_cutadapt	70.0752687335928	33.0	95.80468066411291	18.181818181818183	6257189.0
G04904-L1_S32_L002_R1_001_trimmed_cutadapt	74.2087087430906	34.0	94.394981071933	18.181818181818183	8502453.0
G04905-L1_S33_L002_R1_001_trimmed_cutadapt	73.78866744904275	33.0	94.27999848329587	18.181818181818183	10470071.0
G04906-L1_S34_L002_R1_001_trimmed_cutadapt	74.03358490559454	32.0	94.77463195626716	18.181818181818183	9549069.0
G04907-L1_S35_L002_R1_001_trimmed_cutadapt	72.65143040071958	33.0	94.0902864806547	18.181818181818183	9154859.0
