ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen ,HK.W,SPL.W,L.W,GON.W,BK.W,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S1,Fam06,O,TC,F,10.9,V48_006,66.3,E_control,control,0,43,50,1096,265.247,-2.33004,-3.07594,5,0.9,61.3,116.8,3.5,923411.8,174,70.11,0.96
S2,Fam06,O,TC,F,10,V48_032,66.2,E_control,control,0,38,43,595,-3.988,0.74326,0.69317,4.3,0.4,20,10.7,0.7,1152749,226,60.11,1.31
S3,Fam06,O,TC,F,11.2,V48_137,65.9,E_control,control,0,42,48,923,138.6,-0.54225,-1.04789,3.2,1.2,49.5,18.8,4.1,2972330.5,508,80.11,0.43
S4,Fam06,O,TC,M,11.5,V48_227,67.7,E_control,control,0,39,45,837,191.659,-2.15642,-2.54261,3.5,1.4,30.9,5.6,5,1636361.1,240,60.11,0.96
S5,Fam06,O,TT,M,11.3,V48_181,66.8,E_exposed,infected,1,41,46,803,64.953,0.39147,0.0525,3.9,1,23.4,11.9,4.4,1658412.2,265,75.11,1.19
S6,Fam06,O,TT,F,11.5,V48_228,68.2,E_exposed,infected,1,36,42,645,138.718,-2.06245,-2.18199,2.6,1.1,25.5,14.1,3.3,2550909.9,409,70.11,0.39
S7,Fam06,O,TT,M,8.7,V48_278,67.3,E_exposed,infected,2,37,42,595,42.365,-0.25674,-0.30683,3.1,1,30.1,0.6,1.9,1654039.1,251,85.11,0.84
S8,Fam06,O,TT,F,9.4,V48_310,66.7,E_exposed,infected,2,35,41,583,123.071,-2.06336,-2.09679,3.4,0.7,26.7,8.6,2.2,2677709.3,427,85.11,0.44
S9,Fam06,O,CC,F,14.3,V48_043,69.2,NE_control,control,0,39,45,735,89.659,-0.51275,-0.75728,4.5,1.2,33.9,9.9,1.8,2087275.7,397,75.11,0.68
S10,Fam06,O,CC,M,12,V48_213,64.3,NE_control,control,0,40,46,1043,351.306,-4.47598,-5.14827,6.7,1.5,41.1,14.1,14.3,4497525.7,757,60.11,0.95
S11,Fam06,O,CC,M,12.9,V48_338,69.9,NE_control,control,0,40,46,657,-34.694,1.74417,1.60797,1.9,1,22.6,9.4,1.9,896457,132,95.11,0.67
S12,Fam06,O,CC,F,6.4,V48_340,44.8,NE_control,control,0,43,50,852,21.247,1.57653,1.15385,3.3,1.3,32.7,11.4,3.2,917154.9,136,75.11,1.68
S13,Fam06,O,CT,F,10.1,V48_013,71.1,NE_exposed,infected,4,37,42,454,-98.635,2.01539,2.16112,4.2,0.3,8.5,5.9,NA,NA,NA,NA,0.77
S14,Fam06,O,CT,M,10.5,V48_211,66.9,NE_exposed,infected,1,42,48,688,-96.4,3.24463,3.06537,2.1,1.2,16.3,1.1,2.8,1364347.2,190,75.11,0.7
S15,Fam06,O,CT,F,8.3,V48_295,68,NE_exposed,infected,2,44,50,976,98.893,0.60368,0.02444,5.3,1.3,46.1,16.4,5.2,2482191.8,355,85.11,1.25
S16,Fam06,P,C,M,10.5,62,64.8,Control,control,0,43,49,931,11.613,0.32883,0.42816,4.1,0.9,18.8,8.2,261,2834708,358.5,102.61,0.5291
S17,Fam06,P,T,M,9.2,63,65.2,Exposed,infected,6,39,44,732,11.531,-0.46441,-1.17546,2.6,1.1,17.5,7.7,174,1914101,243,105.11,0.4579
S18,Fam06,O,TC,M,9.8,V48_089,62.9,E_control,control,0,38,43,573,-25.988,1.09778,1.07824,2.7,0.5,15.6,0.6,1.8,800082.5,158,40.11,0.5
S19,Fam06,O,TC,F,11.4,V48_090,69.8,E_control,control,0,41,46,702,-36.047,2.01902,1.82032,3,0.6,25.3,10.9,2.6,2012259.2,295,75.11,0.68
S20,Fam06,O,TC,F,12.5,V48_122,65.3,E_control,control,0,40,46,680,-11.694,1.37354,1.2054,2.3,0.6,19.8,27.6,19.8,1011690.6,174,100.11,0.67
