Idplate,Idplate,treatment,FamilyOfFather,True.ID,number of worms,clutch-ID,test,HK.W,spleen.W,liver.W,Idplate,True.ID,R/RGB,SL,totalL,W.net,BK.W,gonads.W,comments,CF,Hkused,cells_ges,cells_vit,FITC.+,Gran_ges,Gran_vit,Lymph_ges,Lymph_vit,PJ.+,G/G+L,G/L,G/HK,L/HK,integration(mean),peak(mean),Tpeak(mean),VAP,VSL,VCL,ALH,BCF,STR,LIN,ELONGATION,TOTAL_COUNT,TOTAL_SAMPLE,TOTAL_CONC,MOTILE_COUNT,MOTILE_SAMPLE,MOTILE_CONC,MOTILE_PCT,STATIC_COUNT,STATIC_SAMPLE,STATIC_CONC,STATIC_PCT,Nwindows,,Family,matings,selected
1,Bro_dad01,E,Fam17,E_17_02,2,E_01,1,17,not weighted,460,Bro_dad01,E_17_02,0.513937989272076,45,50,1067,304,119,NA,11.9395102166113,1,5000,4734,4553,3223,3157,1594,1426,5122,0.688850098188959,0.66687790452049,185.705882352941,83.8823529411765,7196947.95,1024.50,77.58,18.8,14.7,32.8,3.1,32.9,75.5,46.3,52.2,558.2,6.0,1995.4,98.8,1.1,353.3,18.5,318.8,3.4,1139.8,56.2,6,,Fam11,6 (3+3),6 (3+3)
2,Bro_dad02,NE,Fam17,NE_17_03,NA,NE_01,1,50,not weighted,322,Bro_dad02,NE_17_03,0.469920575267011,43,48,942,178,93,bit.of.liver.with.gonads,11.7506338528294,2,3937,3719,2717,2240,2185,1539,1398,3214,0.609824169690204,0.587523527830062,43.7,27.96,3672144.93,457.00,82.58,19.7,14.3,34.1,4.5,29.5,68.3,41.7,49.8,575.8,6.2,2058.5,38.3,0.4,137.0,6.8,430.5,4.6,1539.0,75.8,6,,Fam12,4 (2+2),4 (2+2)
7,Bro_dad07,NE,Fam6,NE_6_04,NA,NE_04,4,39,10,296,Bro_dad07,NE_6_04,0.465232787436748,43,48,931,206,70,NA,11.6134183832103,2,1775,1687,2808,1062,1035,651,609,3097,0.62956204379562,0.613515115589804,26.5384615384615,15.6153846153846,918395.05,119.50,92.61,17.9,13.8,30.7,3.6,31.4,74.5,45.8,54.8,630.5,6.8,2253.9,131.3,1.4,469.5,20.5,349.3,3.8,1248.8,56.3,6,,Fam17,8 (4+4),6 (3+3)
8,Bro_dad08,E,Fam6,E_06_01,5,E_04,4,15,6,330,Bro_dad08,E_06_01,0.435307374875968,45,50,1028,197,74,blacks.gonads,11.503108249931,2,5000,4763,2548,2784,2721,2032,1894,3321,0.589599133261105,0.571278605920638,181.4,126.266666666667,2175422.83,240.00,97.61,16.2,12.1,29.9,4.4,28.2,73.0,42.2,57.3,500.2,5.4,1788.0,52.3,0.6,187.1,10.2,368.5,3.9,1317.3,74.0,6,,Fam6,6 (3+3),6 (3+3)
9,Bro_dad09,E,Fam11,E_11_03,2,E_05,5,31,8,372,Bro_dad09,E_11_03,0.452347193630868,45,51,1046,161,141,NA,11.704524542245,2,4107,3889,2860,2190,2144,1714,1588,3444,0.57449088960343,0.551298534327591,69.1612903225806,51.2258064516129,2862449.63,376.50,75.11,18.3,13.8,30.7,5.5,31.9,73.0,46.5,50.2,1017.0,10.9,3635.6,137.0,1.5,489.8,13.3,644.3,6.9,2303.4,64.3,6,,Fam9,6 (3+3),6 (3+3)
10,Bro_dad10,NE,Fam11,NE_11_04,NA,NE_05,5,69,11,386,Bro_dad10,NE_11_04,0.417346776733858,44,49,1057,273,118,NA,12.4802444088712,2,5000,4798,718,3116,3062,1746,1626,1207,0.653156996587031,0.638182576073364,44.3768115942029,23.5652173913043,4441521.35,553.00,77.61,17.2,12.8,29.7,4.6,32.5,71.5,44.3,51.5,913.8,9.8,3266.8,103.3,1.1,369.4,11.3,639.7,6.9,2286.7,69.3,6,,,,
100,Bro_dad100,E,Fam11,E_11_07,2,E_42,42,56,12,373,Bro_dad100,E_11_07,0.487183736,44,50,1129,365,109,NA,13.3303651254642,2,5000,4700,1960,2591,2519,2166,1982,2817,0.559653410353255,1.27093844601413,44.9821428571429,35.3928571428571,985537.03,229.00,15.10,23.7,21.5,30.9,1.2,34.6,86.6,68.2,63.4,484.2,5.2,1731.0,54.6,0.6,195.2,11.4,257.8,2.8,921.6,54.4,5,,,,
109,Bro_dad109,NE,Fam17,NE_17_06,NA,NE_46,46,59,15,502,Bro_dad109,NE_17_06,0.428049163,46,52,1094,515,83,NA,11.6151842750479,2,5000,4484,2406,2274,2130,2557,2264,3886,0.484751934456076,0.940812720848057,36.1016949152542,38.3728813559322,3553670.93,798.50,15.10,23.8,21.9,32.1,1.7,33.9,87.8,66.7,62.3,338.8,3.6,1211.3,48.0,0.5,171.6,14.0,180.2,1.9,644.1,52.7,6,,,,
110,Bro_dad110,E,Fam17,E_17_09,1,E_46,46,41,16,435,Bro_dad110,E_17_09,0.490043391,45,51.5,1228,477,131,NA,13.7410670534195,2,4745,4391,2770,2466,2393,2091,1864,3890,0.562132957481795,1.2837982832618,58.3658536585366,45.4634146341463,2572607.20,367.00,15.10,24.7,21.7,31.0,2.0,31.7,83.7,69.0,59.5,732.3,7.9,2618.0,65.3,0.7,233.6,9.2,364.7,3.9,1303.6,50.0,6,,,,
119,Bro_dad119,NE,Fam17,NE_17_08,NA,NE_49,49,35,14,455,Bro_dad119,NE_17_08,0.49009393,47.5,54,1346,488,71,NA,13.2357127388523,2,2074,1881,2517,946,907,1027,923,3331,0.495628415300546,0.982665222101842,25.9142857142857,26.3714285714286,1565368.48,180.50,102.61,20.5,18.2,33.2,1.8,35.7,85.3,54.3,63.0,285.5,3.1,1020.6,95.2,1.0,340.2,33.5,103.3,1.1,369.4,36.2,6,,,,
