feature.name,GeneSymbol,uniprotID,effect,chrom,featureType,Function
gasAcul07231-RA,CASR,O62714,infection_induced,Gy_chrI,exons,"FUNCTION: G-protein-coupled receptor that senses changes in the extracellular concentration of calcium ions and plays a key role in maintaining calcium homeostasis. Senses fluctuations in the circulating calcium concentration and modulates the production of parathyroid hormone (PTH) in parathyroid glands (By similarity). The activity of this receptor is mediated by a G-protein that activates a phosphatidylinositol-calcium second messenger system. The G-protein-coupled receptor activity is activated by a co-agonist mechanism: aromatic amino acids, such as Trp or Phe, act concertedly with divalent cations, such as calcium or magnesium, to achieve full receptor activation (By similarity). {ECO:0000250|UniProtKB:P41180, ECO:0000250|UniProtKB:Q9QY96}."
gasAcul07283-RA,PITPNM3,Q3UHE1,intergenerational,Gy_chrI,intergenic,FUNCTION: Catalyzes the transfer of phosphatidylinositol and phosphatidylcholine between membranes (in vitro). Binds calcium ions (By similarity). {ECO:0000250}.
gasAcul07295-RA,SYNRG,Q5SV85,infection_induced,Gy_chrI,introns,"FUNCTION: Plays a role in endocytosis and/or membrane trafficking at the trans-Golgi network (TGN) (By similarity). May act by linking the adapter protein complex AP-1 to other proteins (By similarity). Component of clathrin-coated vesicles (By similarity). Component of the aftiphilin/p200/gamma-synergin complex, which plays roles in AP1G1/AP-1-mediated protein trafficking including the trafficking of transferrin from early to recycling endosomes, and the membrane trafficking of furin and the lysosomal enzyme cathepsin D between the trans-Golgi network (TGN) and endosomes (By similarity). {ECO:0000250|UniProtKB:Q9UMZ2}."
gasAcul07297-RA,TRAF4,Q61382,infection_induced,Gy_chrI,intergenic,"FUNCTION: Adapter protein with E3 ligase activity that is involved in many diverse biological processes including cell proliferation, migration, differentiation, DNA repair, platelet activation or apoptosis. Promotes EGFR-mediated signaling by facilitating the dimerization of EGFR and downstream AKT activation thereby promoting cell proliferation. Ubiquitinates SMURF2 through 'Lys-48'-linked ubiquitin chain leading to SMURF2 degradation through the proteasome and subsequently osteogenic differentiation. Promotes 'Lys-63'-mediated ubiquitination of CHK1 which in turn activates cell cycle arrest and activation of DNA repair. In addition, promotes an atypical 'Lys-29'-linked ubiquitination at the C-terminal end of IRS1 which is crucial for insulin-like growth factor (IGF) signal transduction (By similarity). Regulates activation of NF-kappa-B in response to signaling through Toll-like receptors. Required for normal skeleton development, and for normal development of the respiratory tract. Required for activation of RPS6KB1 in response to TNF signaling. Modulates TRAF6 functions. Inhibits adipogenic differentiation by activating pyruvate kinase PKM activity and subsequently the beta-catenin signaling pathway (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q9BUZ4}."
gasAcul07297-RA,TRAF4,Q61382,infection_induced,Gy_chrI,intergenic,"FUNCTION: Adapter protein with E3 ligase activity that is involved in many diverse biological processes including cell proliferation, migration, differentiation, DNA repair, platelet activation or apoptosis. Promotes EGFR-mediated signaling by facilitating the dimerization of EGFR and downstream AKT activation thereby promoting cell proliferation. Ubiquitinates SMURF2 through 'Lys-48'-linked ubiquitin chain leading to SMURF2 degradation through the proteasome and subsequently osteogenic differentiation. Promotes 'Lys-63'-mediated ubiquitination of CHK1 which in turn activates cell cycle arrest and activation of DNA repair. In addition, promotes an atypical 'Lys-29'-linked ubiquitination at the C-terminal end of IRS1 which is crucial for insulin-like growth factor (IGF) signal transduction (By similarity). Regulates activation of NF-kappa-B in response to signaling through Toll-like receptors. Required for normal skeleton development, and for normal development of the respiratory tract. Required for activation of RPS6KB1 in response to TNF signaling. Modulates TRAF6 functions. Inhibits adipogenic differentiation by activating pyruvate kinase PKM activity and subsequently the beta-catenin signaling pathway (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q9BUZ4}."
gasAcul07378-RA,GAB2,Q9EQH1,infection_induced,Gy_chrI,introns,"FUNCTION: Adapter protein which acts downstream of several membrane receptors including cytokine, antigen, hormone, cell matrix and growth factor receptors to regulate multiple signaling pathways. Regulates osteoclast differentiation mediating the TNFRSF11A/RANK signaling. In allergic response, it plays a role in mast cells activation and degranulation through PI-3-kinase regulation. Also involved in the regulation of cell proliferation and hematopoiesis (By similarity). {ECO:0000250}."
gasAcul07413-RA,MARK4,Q8CIP4,infection_induced,Gy_chrI,introns,"FUNCTION: Serine/threonine-protein kinase (By similarity). Phosphorylates the microtubule-associated protein MAPT/TAU (By similarity). Also phosphorylates the microtubule-associated proteins MAP2 and MAP4 (By similarity). Involved in regulation of the microtubule network, causing reorganization of microtubules into bundles (By similarity). Required for the initiation of axoneme extension during cilium assembly (By similarity). Regulates the centrosomal location of ODF2 and phosphorylates ODF2 in vitro (By similarity). Plays a role in cell cycle progression, specifically in the G1/S checkpoint (By similarity). Reduces neuronal cell survival (By similarity). Plays a role in energy homeostasis by regulating satiety and metabolic rate (PubMed:22992738). Promotes adipogenesis by activating JNK1 and inhibiting the p38MAPK pathway, and triggers apoptosis by activating the JNK1 pathway (PubMed:24989893). Phosphorylates mTORC1 complex member RPTOR and acts as a negative regulator of the mTORC1 complex, probably due to disruption of the interaction between phosphorylated RPTOR and the RRAGA/RRAGC heterodimer which is required for mTORC1 activation (By similarity). Involved in NLRP3 positioning along microtubules by mediating NLRP3 recruitment to microtubule organizing center (MTOC) upon inflammasome activation (PubMed:28656979). {ECO:0000250|UniProtKB:Q96L34, ECO:0000269|PubMed:22992738, ECO:0000269|PubMed:24989893, ECO:0000269|PubMed:28656979}."
gasAcul07430-RA,GPR4,P46093,intergenerational,Gy_chrI,promoters,"FUNCTION: Proton-sensing G-protein coupled receptor couples to multiple intracellular signaling pathways, including GNAS/cAMP, GNAQ/phospholipase C (PLC), and GNA12/GNA13/Rho pathways (PubMed:12955148, PubMed:17462861, PubMed:20211729, PubMed:22110680). Acidosis-induced GPR4 activation increases paracellular gap formation and permeability of vascular endothelial cells through the GNA12/GNA13/Rho GTPase signaling pathway (PubMed:32058960). In the brain may mediate central respiratory sensitivity to CO(2)H(+) (By similarity). {ECO:0000250|UniProtKB:Q8BUD0, ECO:0000269|PubMed:12955148, ECO:0000269|PubMed:17462861, ECO:0000269|PubMed:20211729, ECO:0000269|PubMed:22110680, ECO:0000269|PubMed:32058960}."
gasAcul06838-RA,Mrps22,P82649,infection_induced,Gy_chrI,intergenic,NA
gasAcul06838-RA,Mrps22,P82649,infection_induced,Gy_chrI,intergenic,NA
